epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,667.945,1.88838,3.20669,2.0213,0.63306,0.20003,0.15373,0.07333,1.51782,3.13249,1.63519,0.000412234,0.000412234,0.000412234
2,1368.42,1.43295,2.27624,1.52853,0.632,0.32628,0.25189,0.13607,1.6112,2.6986,1.76088,0.00082343,0.00082343,0.00082343
3,2119.15,1.37566,2.00228,1.48076,0.36222,0.37985,0.18882,0.12387,1.5749,2.86673,1.74392,0.00122913,0.00122913,0.00122913
