epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3514.44,2.18375,3.26346,2.23254,0.87824,0.07276,0.07638,0.02635,2.84734,4.04573,2.84389,0.00103555,0.00103555,0.00103555
43,3594.67,2.2112,3.22248,2.24999,0.60757,0.07554,0.07151,0.02418,2.8617,4.13331,2.93797,0.00102566,0.00102566,0.00102566
44,3674.79,2.17903,3.25905,2.19714,0.3897,0.0882,0.07447,0.02518,2.85885,4.36296,2.99398,0.00101559,0.00101559,0.00101559
45,3755.25,2.20949,3.20319,2.25313,0.36175,0.07554,0.07563,0.0245,2.80344,4.38705,3.06269,0.00100535,0.00100535,0.00100535
46,3835.46,2.15814,3.18346,2.21618,0.85511,0.06034,0.08707,0.02993,2.69811,4.05683,2.909,0.000994942,0.000994942,0.000994942
47,3915.31,2.12717,3.11851,2.20556,0.88264,0.07759,0.07712,0.02516,2.73051,4.06933,2.88637,0.000984379,0.000984379,0.000984379
48,3995.44,2.15539,3.13545,2.23429,0.36906,0.09483,0.0888,0.02943,2.77878,4.11859,2.94677,0.000973661,0.000973661,0.000973661
49,4075.87,2.15418,3.14949,2.20292,0.88426,0.12069,0.08808,0.03105,2.78545,4.03743,2.86847,0.000962793,0.000962793,0.000962793
50,4155.52,2.08682,3.0424,2.17529,0.86271,0.0431,0.04972,0.0244,2.6871,4.12174,2.86143,0.000951779,0.000951779,0.000951779
51,4235.2,2.07631,3.10015,2.18358,0.54606,0.06034,0.04547,0.0148,2.84965,4.13139,2.97627,0.000940625,0.000940625,0.000940625
52,4314.51,2.0734,3.04066,2.16101,0.60702,0.06034,0.06689,0.0253,2.74548,4.08885,2.98072,0.000929335,0.000929335,0.000929335
53,4393.87,2.07156,3.07638,2.16915,0.56966,0.07759,0.05865,0.02161,2.76707,4.15017,2.95983,0.000917914,0.000917914,0.000917914
54,4473.4,2.06792,2.97079,2.14632,0.57605,0.06787,0.05354,0.01912,2.88342,3.96772,3.03069,0.000906368,0.000906368,0.000906368
55,4552.81,2.03856,2.87916,2.13376,0.61361,0.0431,0.05212,0.01811,2.87277,4.13309,3.02044,0.000894701,0.000894701,0.000894701
56,4632.03,2.10786,2.9029,2.15204,0.35892,0.09279,0.06399,0.02323,2.77124,3.91509,2.9613,0.000882918,0.000882918,0.000882918
57,4711.54,2.05133,2.95483,2.15513,0.29934,0.06897,0.04386,0.02078,2.77969,4.10577,2.9768,0.000871025,0.000871025,0.000871025
58,4790.57,1.98859,2.88565,2.12271,0.59483,0.07759,0.08587,0.02967,2.80502,4.09874,3.03826,0.000859027,0.000859027,0.000859027
59,4869.85,1.99314,2.91492,2.14524,0.61935,0.09451,0.09209,0.03278,2.79938,4.15421,2.95441,0.000846929,0.000846929,0.000846929
60,4949.31,1.94141,2.81963,2.07805,0.37506,0.08621,0.08954,0.02965,2.85281,4.14062,2.95748,0.000834736,0.000834736,0.000834736
61,5028.7,1.9699,2.73061,2.0932,0.31933,0.11207,0.07227,0.02559,2.8904,4.10666,2.96879,0.000822454,0.000822454,0.000822454
62,5108.25,1.97493,2.87126,2.12264,0.42284,0.05811,0.07615,0.0255,2.84935,3.98577,2.87967,0.000810088,0.000810088,0.000810088
63,5187.64,1.92571,2.78377,2.05013,0.45533,0.15512,0.09992,0.03735,2.8246,4.01234,2.93528,0.000797644,0.000797644,0.000797644
64,5267.15,1.9452,2.72133,2.07805,0.15148,0.09478,0.07016,0.02447,2.88529,4.219,3.09318,0.000785127,0.000785127,0.000785127
65,5346.73,1.92165,2.66591,2.04607,0.11273,0.08848,0.06711,0.02178,2.85385,4.2554,3.0371,0.000772542,0.000772542,0.000772542
66,5426.06,1.87109,2.63099,2.04278,0.13323,0.12268,0.07456,0.02412,2.85622,3.96405,3.00296,0.000759895,0.000759895,0.000759895
67,5505.3,1.91472,2.54416,2.05678,0.1614,0.07095,0.07621,0.0247,2.89871,4.08142,3.07932,0.000747192,0.000747192,0.000747192
