epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.286,2.32172,3.97714,2.52819,0.00269,0.72985,0.08252,0.02443,2.48686,4.60725,2.88035,0.0003125,0.0003125,0.0003125
2,199.364,2.12021,3.57922,2.21574,0.00335,0.75519,0.05662,0.01548,2.77734,4.29055,3.25748,0.000624877,0.000624877,0.000624877
3,293.768,2.08883,3.47745,2.18096,0.31572,0.03417,0.03024,0.00613,2.97276,4.30692,3.23541,0.000924385,0.000924385,0.000924385
